No,Title,Artist,From,Got,Sorted,location,filename
67,Maps,Yeah Yeah Yeahs,RockBand1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Yeah Yeah Yeahs - Maps,Yeah Yeah Yeahs - Maps
68,Visions,Abnormality,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Abnormality - Visions,Abnormality - Visions
69,Let There Be Rock,AC-DC,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/AC-DC - Let There Be Rock,AC-DC - Let There Be Rock
70,Girl's Not Grey,AFI,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/AFI - Girl's Not Grey,AFI - Girl's Not Grey
71,You Oughta Know,Alanis Morissette,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alanis Morissette - You Oughta Know,Alanis Morissette - You Oughta Know
72,Man in the Box,Alice in Chains,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alice in Chains - Man in the Box,Alice in Chains - Man in the Box
73,Get Clean,Anarchy Club,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Anarchy Club - Get Clean,Anarchy Club - Get Clean
74,Almost Easy,Avenged Sevenfold,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Avenged Sevenfold - Almost Easy,Avenged Sevenfold - Almost Easy
75,Shooting Star,Bad Company,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bad Company - Shooting Star,Bad Company - Shooting Star
76,Night Lies,Bang Camaro,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bang Camaro - Night Lies,Bang Camaro - Night Lies
77,So What'cha Want,Beastie Boys,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Beastie Boys - So What'cha Want,Beastie Boys - So What'cha Want
78,E-Pro,Beck,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Beck - E-Pro,Beck - E-Pro
79,Rebel Girl,Bikini Kill,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bikini Kill - Rebel Girl,Bikini Kill - Rebel Girl
80,White Wedding (Part 1),Billy Idol,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Billy Idol - White Wedding (Part 1),Billy Idol - White Wedding (Part 1)
81,One Way or Another,Blondie,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Blondie - One Way or Another,Blondie - One Way or Another
82,Tangled Up in Blue,Bob Dylan,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bob Dylan - Tangled Up in Blue,Bob Dylan - Tangled Up in Blue
83,Livin' on a Prayer,Bon Jovi,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Bon Jovi - Livin' on a Prayer,Bon Jovi - Livin' on a Prayer
84,Shoulder to the Plow,Breaking Wheel,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Breaking Wheel - Shoulder to the Plow,Breaking Wheel - Shoulder to the Plow
85,Hello There,Cheap Trick,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Cheap Trick - Hello There,Cheap Trick - Hello There
86,Uncontrollable Urge,Devo,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Devo - Uncontrollable Urge,Devo - Uncontrollable Urge
87,Feel the Pain,Dinosaur Jr.,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dinosaur Jr. - Feel the Pain,Dinosaur Jr. - Feel the Pain
88,Down with the Sickness,Disturbed,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Disturbed - Down with the Sickness,Disturbed - Down with the Sickness
89,Panic Attack,Dream Theater,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dream Theater - Panic Attack,Dream Theater - Panic Attack
90,Hungry Like the Wolf,Duran Duran,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Duran Duran - Hungry Like the Wolf,Duran Duran - Hungry Like the Wolf
91,Pump It Up,Elvis Costello,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Elvis Costello - Pump It Up,Elvis Costello - Pump It Up
92,Go Your Own Way,Fleetwood Mac,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Fleetwood Mac - Go Your Own Way,Fleetwood Mac - Go Your Own Way
93,Everlong,Foo Fighters,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Everlong,Foo Fighters - Everlong
94,Shackler's Revenge,Guns N' Roses,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Guns N' Roses - Shackler's Revenge,Guns N' Roses - Shackler's Revenge
95,PDA,Interpol,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Interpol - PDA,Interpol - PDA
96,Mountain Song,Jane's Addiction,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jane's Addiction - Mountain Song,Jane's Addiction - Mountain Song
97,Aqualung,Jethro Tull,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jethro Tull - Aqualung,Jethro Tull - Aqualung
98,The Middle,Jimmy Eat World,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Jimmy Eat World - The Middle,Jimmy Eat World - The Middle
99,Bad Reputation,Joan Jett,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Joan Jett - Bad Reputation,Joan Jett - Bad Reputation
100,Any Way You Want It,Journey,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Journey - Any Way You Want It,Journey - Any Way You Want It
101,Painkiller,Judas Priest,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Judas Priest - Painkiller,Judas Priest - Painkiller
102,Carry On Wayward Son,Kansas,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Kansas - Carry On Wayward Son,Kansas - Carry On Wayward Son
103,Pretend We're Dead,L7,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/L7 - Pretend We're Dead,L7 - Pretend We're Dead
104,Our Truth,Lacuna Coil,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Lacuna Coil - Our Truth,Lacuna Coil - Our Truth
105,Welcome to the Neighborhood,Libyans,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Libyans - Welcome to the Neighborhood,Libyans - Welcome to the Neighborhood
106,One Step Closer,Linkin Park,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Linkin Park - One Step Closer,Linkin Park - One Step Closer
107,My Own Worst Enemy,Lit,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Lit - My Own Worst Enemy,Lit - My Own Worst Enemy
108,De-Luxe,Lush,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Lush - De-Luxe,Lush - De-Luxe
109,Colony of Birchmen,Mastodon,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Mastodon - Colony of Birchmen,Mastodon - Colony of Birchmen
110,Peace Sells,Megadeth,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Megadeth - Peace Sells,Megadeth - Peace Sells
111,Battery,Metallica,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Metallica - Battery,Metallica - Battery
112,Float On,Modest Mouse,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Modest Mouse - Float On,Modest Mouse - Float On
113,Ace of Spades '08,Motörhead,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Motörhead - Ace of Spades '08,Motörhead - Ace of Spades '08
114,Drain You,Nirvana,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nirvana - Drain You,Nirvana - Drain You
115,Spirit in the Sky,Norman Greenbaum,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Norman Greenbaum - Spirit in the Sky,Norman Greenbaum - Spirit in the Sky
116,Nine in the Afternoon,Panic! at the Disco,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Panic! at the Disco - Nine in the Afternoon,Panic! at the Disco - Nine in the Afternoon
117,That's What You Get,Paramore,RockBand2,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Paramore - That's What You Get,Paramore - That's What You Get
