No,Title,Artist,From,Got,Sorted,location,filename
1985,Still of the Night,Whitesnake,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Whitesnake - Still of the Night,Whitesnake - Still of the Night
1986,I Want to Know What Love Is,Foreigner,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foreigner - I Want to Know What Love Is,Foreigner - I Want to Know What Love Is
1987,Waiting for a Girl Like You,Foreigner,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foreigner - Waiting for a Girl Like You,Foreigner - Waiting for a Girl Like You
1988,Amaranth,Nightwish,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nightwish - Amaranth,Nightwish - Amaranth
1989,Howlin' for You,The Black Keys,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Keys - Howlin' for You,The Black Keys - Howlin' for You
1990,Lonely Boy,The Black Keys,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Keys - Lonely Boy,The Black Keys - Lonely Boy
1991,Tighten Up,The Black Keys,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Keys - Tighten Up,The Black Keys - Tighten Up
1992,Breaking the Habit,Linkin Park,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Linkin Park - Breaking the Habit,Linkin Park - Breaking the Habit
1993,Burn It Down,Linkin Park,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Linkin Park - Burn It Down,Linkin Park - Burn It Down
1994,New Divide,Linkin Park,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Linkin Park - New Divide,Linkin Park - New Divide
1995,Shadow of the Day,Linkin Park,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Linkin Park - Shadow of the Day,Linkin Park - Shadow of the Day
1996,Bent,Matchbox Twenty,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Matchbox Twenty - Bent,Matchbox Twenty - Bent
1997,How Far We've Come,Matchbox Twenty,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Matchbox Twenty - How Far We've Come,Matchbox Twenty - How Far We've Come
1998,She's So Mean,Matchbox Twenty,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Matchbox Twenty - She's So Mean,Matchbox Twenty - She's So Mean
1999,Can’t Get Enough of You Baby,Smash Mouth,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Smash Mouth - Can’t Get Enough of You Baby,Smash Mouth - Can’t Get Enough of You Baby
2000,Why Can't We Be Friends?,Smash Mouth,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Smash Mouth - Why Can't We Be Friends?,Smash Mouth - Why Can't We Be Friends?
2001,Days Go By,The Offspring,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Offspring - Days Go By,The Offspring - Days Go By
2002,Oh Love,Green Day,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Green Day - Oh Love,Green Day - Oh Love
2003,Amber,311,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/311 - Amber,311 - Amber
2004,Beautiful Disaster,311,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/311 - Beautiful Disaster,311 - Beautiful Disaster
2005,Down,311,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/311 - Down,311 - Down
2006,I Ran (So Far Away),A Flock of Seagulls,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A Flock of Seagulls - I Ran (So Far Away),A Flock of Seagulls - I Ran (So Far Away)
2007,Everybody Wants You,Billy Squier,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Billy Squier - Everybody Wants You,Billy Squier - Everybody Wants You
2008,The Stroke,Billy Squier,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Billy Squier - The Stroke,Billy Squier - The Stroke
2009,Come on Eileen,Save Ferris,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Save Ferris - Come on Eileen,Save Ferris - Come on Eileen
2010,All I Wanna Do,Sheryl Crow,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sheryl Crow - All I Wanna Do,Sheryl Crow - All I Wanna Do
2011,Animal I Have Become,Three Days Grace,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Three Days Grace - Animal I Have Become,Three Days Grace - Animal I Have Become
2012,Feelin' Stronger Every Day,Chicago,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Chicago - Feelin' Stronger Every Day,Chicago - Feelin' Stronger Every Day
2013,If You Leave Me Now,Chicago,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Chicago - If You Leave Me Now,Chicago - If You Leave Me Now
2014,Make Me Smile,Chicago,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Chicago - Make Me Smile,Chicago - Make Me Smile
2015,Santeria,Sublime,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sublime - Santeria,Sublime - Santeria
2016,What I Got,Sublime,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sublime - What I Got,Sublime - What I Got
2017,Wrong Way,Sublime,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Sublime - Wrong Way,Sublime - Wrong Way
2018,Ants Marching,Dave Matthews Band,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dave Matthews Band - Ants Marching,Dave Matthews Band - Ants Marching
2019,Mercy,Dave Matthews Band,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dave Matthews Band - Mercy,Dave Matthews Band - Mercy
2020,So Much to Say,Dave Matthews Band,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dave Matthews Band - So Much to Say,Dave Matthews Band - So Much to Say
2021,Footloose,Kenny Loggins,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Kenny Loggins - Footloose,Kenny Loggins - Footloose
2022,I'm Alright,Kenny Loggins,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Kenny Loggins - I'm Alright,Kenny Loggins - I'm Alright
2023,Cold,Crossfade,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Crossfade - Cold,Crossfade - Cold
2024,Cry Thunder,Dragonforce,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Dragonforce - Cry Thunder,Dragonforce - Cry Thunder
2025,I Melt With You,Modern English,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Modern English - I Melt With You,Modern English - I Melt With You
2026,Closer,Nine Inch Nails,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nine Inch Nails - Closer,Nine Inch Nails - Closer
2027,Jessica,The Allman Brothers Band,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Allman Brothers Band - Jessica,The Allman Brothers Band - Jessica
2028,The Weight (Live),The Band,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Band - The Weight (Live),The Band - The Weight (Live)
2029,Call Me Maybe,Carly Rae Jepsen,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Carly Rae Jepsen - Call Me Maybe,Carly Rae Jepsen - Call Me Maybe
2030,Sex and Candy,Marcy Playground,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Marcy Playground - Sex and Candy,Marcy Playground - Sex and Candy
2031,Remedy,The Black Crowes,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Crowes - Remedy,The Black Crowes - Remedy
2032,She Talks to Angels,The Black Crowes,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Crowes - She Talks to Angels,The Black Crowes - She Talks to Angels
2033,Sometimes Salvation,The Black Crowes,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Black Crowes - Sometimes Salvation,The Black Crowes - Sometimes Salvation
2034,Away,Toadies,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Toadies - Away,Toadies - Away
2035,Possum Kingdom,Toadies,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Toadies - Possum Kingdom,Toadies - Possum Kingdom
2036,Tyler,Toadies,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Toadies - Tyler,Toadies - Tyler
2037,Don't Let the Sun Go Down on Me,Elton John,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Elton John - Don't Let the Sun Go Down on Me,Elton John - Don't Let the Sun Go Down on Me
2038,The Bitch Is Back,Elton John,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Elton John - The Bitch Is Back,Elton John - The Bitch Is Back
2039,Helena,My Chemical Romance,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/My Chemical Romance - Helena,My Chemical Romance - Helena
2040,Teenagers,My Chemical Romance,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/My Chemical Romance - Teenagers,My Chemical Romance - Teenagers
2041,Party Hard,Andrew W.K.,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Andrew W.K. - Party Hard,Andrew W.K. - Party Hard
2042,Tonight Tonight,Hot Chelle Rae,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Hot Chelle Rae - Tonight Tonight,Hot Chelle Rae - Tonight Tonight
2043,Don't Talk to Strangers,Rick Springfield,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rick Springfield - Don't Talk to Strangers,Rick Springfield - Don't Talk to Strangers
2044,I've Done Everything for You,Rick Springfield,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Rick Springfield - I've Done Everything for You,Rick Springfield - I've Done Everything for You
2045,Back in the Saddle,Aerosmith,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Back in the Saddle,Aerosmith - Back in the Saddle
2046,Dream On (Live),Aerosmith,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Dream On (Live),Aerosmith - Dream On (Live)
2047,Legendary Child,Aerosmith,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Legendary Child,Aerosmith - Legendary Child
2048,Lover Alot,Aerosmith,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Lover Alot,Aerosmith - Lover Alot
2049,Sweet Emotion,Aerosmith,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Sweet Emotion,Aerosmith - Sweet Emotion
2050,Walk This Way,Aerosmith,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aerosmith - Walk This Way,Aerosmith - Walk This Way
2051,More Than Words,Extreme,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Extreme - More Than Words,Extreme - More Than Words
2052,Love Hurts,Nazareth,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Nazareth - Love Hurts,Nazareth - Love Hurts
2053,Glory of Love,Peter Cetera,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Peter Cetera - Glory of Love,Peter Cetera - Glory of Love
2054,Keep On Loving You,REO Speedwagon,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/REO Speedwagon - Keep On Loving You,REO Speedwagon - Keep On Loving You
2055,Tainted Love,Soft Cell,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Soft Cell - Tainted Love,Soft Cell - Tainted Love
2056,Silent Lucidity,Queensrÿche,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Queensrÿche - Silent Lucidity,Queensrÿche - Silent Lucidity
2057,It's Been Awhile,Staind,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Staind - It's Been Awhile,Staind - It's Been Awhile
2058,So Far Away,Staind,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Staind - So Far Away,Staind - So Far Away
2059,Got You (Where I Want You),The Flys,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/The Flys - Got You (Where I Want You),The Flys - Got You (Where I Want You)
2060,Weird Science,Oingo Boingo,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Oingo Boingo - Weird Science,Oingo Boingo - Weird Science
2061,Rosanna,Toto,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Toto - Rosanna,Toto - Rosanna
2062,Face to the Floor,Chevelle,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Chevelle - Face to the Floor,Chevelle - Face to the Floor
2063,Send the Pain Below,Chevelle,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Chevelle - Send the Pain Below,Chevelle - Send the Pain Below
2064,The Red,Chevelle,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Chevelle - The Red,Chevelle - The Red
2065,American Pie,Don McLean,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Don McLean - American Pie,Don McLean - American Pie
2066,R U Mine?,Arctic Monkeys,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Arctic Monkeys - R U Mine?,Arctic Monkeys - R U Mine?
2067,Shepherd of Fire,Avenged Sevenfold,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Avenged Sevenfold - Shepherd of Fire,Avenged Sevenfold - Shepherd of Fire
2068,Something from Nothing,Foo Fighters,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Foo Fighters - Something from Nothing,Foo Fighters - Something from Nothing
2069,Rize of the Fenix,Tenacious D,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Tenacious D - Rize of the Fenix,Tenacious D - Rize of the Fenix
2070,Back to the Shack,Weezer,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Weezer - Back to the Shack,Weezer - Back to the Shack
2071,I Still Believe,Frank Turner,RockBand3DLC,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Frank Turner - I Still Believe,Frank Turner - I Still Believe
2072,Ghost I Own,(Damn) This Desert Air,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/(Damn) This Desert Air - Ghost I Own,(Damn) This Desert Air - Ghost I Own
2073,Latest Heartbreak,22-20s,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/22-20s - Latest Heartbreak,22-20s - Latest Heartbreak
2074,Just Hang On,2nd Thought,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/2nd Thought - Just Hang On,2nd Thought - Just Hang On
2075,Battles and Brotherhood,3 Inches of Blood,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/3 Inches of Blood - Battles and Brotherhood,3 Inches of Blood - Battles and Brotherhood
2076,All My Friends Are Crazy,500 Miles to Memphis,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/500 Miles to Memphis - All My Friends Are Crazy,500 Miles to Memphis - All My Friends Are Crazy
2077,Doomed,8 Inch Betsy,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/8 Inch Betsy - Doomed,8 Inch Betsy - Doomed
2078,All I Want,A Day to Remember,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A Day to Remember - All I Want,A Day to Remember - All I Want
2079,Have Faith in Me,A Day to Remember,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A Day to Remember - Have Faith in Me,A Day to Remember - Have Faith in Me
2080,"I'm Made of Wax, Larry, What Are You Made Of?",A Day to Remember,RockBandNetwork1,Yes,Yes,"/media/gary/exData/xbox/RockBand/ToSort/A Day to Remember - I'm Made of Wax, Larry, What Are You Made Of?","A Day to Remember - I'm Made of Wax, Larry, What Are You Made Of?"
2081,One Step Behind,A Hero Next Door,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A Hero Next Door - One Step Behind,A Hero Next Door - One Step Behind
2082,I'm Coming Home,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - I'm Coming Home,A t o m - I'm Coming Home
2083,Icon,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - Icon,A t o m - Icon
2084,Light of Day,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - Light of Day,A t o m - Light of Day
2085,Satellite (Live),A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - Satellite (Live),A t o m - Satellite (Live)
2086,Shake,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - Shake,A t o m - Shake
2087,To the Otherside,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - To the Otherside,A t o m - To the Otherside
2088,You Take It All,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - You Take It All,A t o m - You Take It All
2089,You're Not Alone - Rock Mix,A t o m,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A t o m - You're Not Alone - Rock Mix,A t o m - You're Not Alone - Rock Mix
2090,Skid Rock,A Wilhelm Scream,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A Wilhelm Scream - Skid Rock,A Wilhelm Scream - Skid Rock
2091,Automatic Doors,A'tris,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/A'tris - Automatic Doors,A'tris - Automatic Doors
2092,Secondary Gain,Abraham Nixon,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Abraham Nixon - Secondary Gain,Abraham Nixon - Secondary Gain
2093,The Ones Who Get It,Action Action,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Action Action - The Ones Who Get It,Action Action - The Ones Who Get It
2094,Liberated by Blasphemy,Adam Evil,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Adam Evil - Liberated by Blasphemy,Adam Evil - Liberated by Blasphemy
2095,Bitten by the Rattlesnake,Admiral of Black,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Admiral of Black - Bitten by the Rattlesnake,Admiral of Black - Bitten by the Rattlesnake
2096,Call to the Warrior,Affiance,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Affiance - Call to the Warrior,Affiance - Call to the Warrior
2097,Aspiration,After the Burial,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/After the Burial - Aspiration,After the Burial - Aspiration
2098,Berzerker,After the Burial,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/After the Burial - Berzerker,After the Burial - Berzerker
2099,Berzerker (2x Bass Pedal),After the Burial,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/After the Burial - Berzerker (2x Bass Pedal),After the Burial - Berzerker (2x Bass Pedal)
2100,Cursing Akhenaten,After the Burial,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/After the Burial - Cursing Akhenaten,After the Burial - Cursing Akhenaten
2101,Cursing Akhenaten (2x Bass Pedal),After the Burial,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/After the Burial - Cursing Akhenaten (2x Bass Pedal),After the Burial - Cursing Akhenaten (2x Bass Pedal)
2102,Stay Up With Me,After the Fall,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/After the Fall - Stay Up With Me,After the Fall - Stay Up With Me
2103,Scavengers of the Damned,Aiden,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aiden - Scavengers of the Damned,Aiden - Scavengers of the Damned
2104,Filthy Dog,Aittala,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aittala - Filthy Dog,Aittala - Filthy Dog
2105,Numb,Aittala,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aittala - Numb,Aittala - Numb
2106,Steven Wells (He Was the Greatest),Akira the Don,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Akira the Don - Steven Wells (He Was the Greatest),Akira the Don - Steven Wells (He Was the Greatest)
2107,Bleeder,Alchemilla,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alchemilla - Bleeder,Alchemilla - Bleeder
2108,Top Back,Alias Unknown,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alias Unknown - Top Back,Alias Unknown - Top Back
2109,Heavy Plastic,Alien Downlink,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alien Downlink - Heavy Plastic,Alien Downlink - Heavy Plastic
2110,I Wanna Be An Alien's Pet,Alien Downlink,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alien Downlink - I Wanna Be An Alien's Pet,Alien Downlink - I Wanna Be An Alien's Pet
2111,The Cold Taste of Nickel Plated Steel,All Hallow's Evil,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All Hallow's Evil - The Cold Taste of Nickel Plated Steel,All Hallow's Evil - The Cold Taste of Nickel Plated Steel
2112,Days Without,All That Remains,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All That Remains - Days Without,All That Remains - Days Without
2113,For We Are Many,All That Remains,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All That Remains - For We Are Many,All That Remains - For We Are Many
2114,Forever in Your Hands,All That Remains,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All That Remains - Forever in Your Hands,All That Remains - Forever in Your Hands
2115,Hold On,All That Remains,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All That Remains - Hold On,All That Remains - Hold On
2116,The Waiting One,All That Remains,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All That Remains - The Waiting One,All That Remains - The Waiting One
2117,Undone,All That Remains,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All That Remains - Undone,All That Remains - Undone
2118,Walls,All Time Low,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/All Time Low - Walls,All Time Low - Walls
2119,Pylo the Pylon,Alternative Deficit Disorder,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Alternative Deficit Disorder - Pylo the Pylon,Alternative Deficit Disorder - Pylo the Pylon
2120,Evil Inside Me,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Evil Inside Me,Amberian Dawn - Evil Inside Me
2121,Fate of the Maiden,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Fate of the Maiden,Amberian Dawn - Fate of the Maiden
2122,He Sleeps in a Grove,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - He Sleeps in a Grove,Amberian Dawn - He Sleeps in a Grove
2123,Incubus,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Incubus,Amberian Dawn - Incubus
2124,Kokko - Eagle of Fire,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Kokko - Eagle of Fire,Amberian Dawn - Kokko - Eagle of Fire
2125,Lionheart,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Lionheart,Amberian Dawn - Lionheart
2126,Lullaby,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Lullaby,Amberian Dawn - Lullaby
2127,Morning Star,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Morning Star,Amberian Dawn - Morning Star
2128,My Wings Are My Eyes,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - My Wings Are My Eyes,Amberian Dawn - My Wings Are My Eyes
2129,River of Tuoni,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - River of Tuoni,Amberian Dawn - River of Tuoni
2130,Saga,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Saga,Amberian Dawn - Saga
2131,Shallow Waters,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Shallow Waters,Amberian Dawn - Shallow Waters
2132,Snowmaiden,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Snowmaiden,Amberian Dawn - Snowmaiden
2133,Sons of Seven Stars,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Sons of Seven Stars,Amberian Dawn - Sons of Seven Stars
2134,Sunrise,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Sunrise,Amberian Dawn - Sunrise
2135,Valkyries,Amberian Dawn,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amberian Dawn - Valkyries,Amberian Dawn - Valkyries
2136,Drag Me Away,Aminal,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Aminal - Drag Me Away,Aminal - Drag Me Away
2137,Shiver,Amy Courts,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Amy Courts - Shiver,Amy Courts - Shiver
2138,I Can't Explain It,Analogue Revolution feat. Bryan Steele,RockBandNetwork1,Yes,Yes,/media/gary/exData/xbox/RockBand/ToSort/Analogue Revolution feat. Bryan Steele - I Can't Explain It,Analogue Revolution feat. Bryan Steele - I Can't Explain It
